,代號,股票名稱,上市日,市場別,產業別
8134,3675,德微,2012-06-29,上櫃,半導體業
8135,3680,家登,2011-08-31,上櫃,半導體業
8136,3684,榮昌,2014-03-28,上櫃,通信網路業
8137,3685,元創精密,2010-12-08,上櫃,電機機械
8138,3687,歐買尬,2020-06-01,上櫃,電子商務
8139,3689,湧德,2012-10-18,上櫃,電子零組件業
8140,3691,碩禾,2010-11-18,上櫃,光電業
8141,3693,營邦,2013-11-27,上櫃,電腦及週邊設備業
8142,3707,漢磊,2014-10-01,上櫃,半導體業
8143,3709,鑫聯大投控,1999-04-16,上櫃,電腦及週邊設備業
8144,3710,連展投控,2017-12-29,上櫃,電子零組件業
8145,3713,新晶投控,2020-02-27,上櫃,光電業
8146,4102,永日,2001-03-20,上櫃,生技醫療業
8147,4105,東洋,2001-09-27,上櫃,生技醫療業
8148,4107,邦特,2002-03-04,上櫃,生技醫療業
8149,4109,加捷生醫,2002-08-08,上櫃,生技醫療業
8150,4111,濟生,1999-03-06,上櫃,生技醫療業
8151,4113,聯上,2003-07-22,上櫃,建材營造業
8152,4114,健喬,2003-05-12,上櫃,生技醫療業
8153,4116,明基醫,2015-12-16,上櫃,生技醫療業
8154,4120,友華,2003-11-05,上櫃,生技醫療業
8155,4121,優盛,2003-07-25,上櫃,生技醫療業
8156,4123,晟德,2003-10-07,上櫃,生技醫療業
8157,4126,太醫,2004-02-09,上櫃,生技醫療業
8158,4127,天良,2005-07-29,上櫃,生技醫療業
8159,4128,中天,2006-06-09,上櫃,生技醫療業
8160,4129,聯合,2004-09-29,上櫃,生技醫療業
8161,4130,健亞,2012-01-12,上櫃,生技醫療業
8162,4131,晶宇,2004-04-09,上櫃,生技醫療業
8163,4138,曜亞,2010-12-29,上櫃,生技醫療業
8164,4139,馬光-KY,2011-04-29,上櫃,生技醫療業
8165,4147,中裕,2015-11-23,上櫃,生技醫療業
8166,4153,鈺緯,2013-05-23,上櫃,生技醫療業
8167,4154,樂威科-KY,2011-12-28,上櫃,生技醫療業
8168,4157,太景*-KY,2013-08-30,上櫃,生技醫療業
8169,4160,創源,2012-09-17,上櫃,生技醫療業
8170,4161,聿新科,2013-06-26,上櫃,生技醫療業
8171,4162,智擎,2012-09-18,上櫃,生技醫療業
8172,4163,鐿鈦,2012-11-15,上櫃,生技醫療業
8173,4167,松瑞藥,2015-09-08,上櫃,生技醫療業
8174,4168,醣聯,2012-12-18,上櫃,生技醫療業
8175,4171,瑞基,2018-03-28,上櫃,農業科技業
8176,4173,久裕,2013-10-31,上櫃,生技醫療業
8177,4174,浩鼎,2015-03-23,上櫃,生技醫療業
8178,4175,杏一,2014-04-23,上櫃,生技醫療業
8179,4183,福永生技,2017-03-09,上櫃,生技醫療業
8180,4188,安克,2015-03-24,上櫃,生技醫療業
8181,4192,杏國,2014-10-28,上櫃,生技醫療業
8182,4198,欣大健康,2014-12-23,上櫃,生技醫療業
8183,4205,中華食,1999-01-31,上櫃,食品工業
8184,4207,環泰,2000-01-21,上櫃,食品工業
8185,4303,信立,1999-03-10,上櫃,塑膠工業
8186,4304,勝昱,2000-01-27,上櫃,塑膠工業
8187,4305,世坤,2000-09-28,上櫃,塑膠工業
8188,4401,東隆興,1996-05-09,上櫃,紡織纖維
8189,4402,福大,1997-07-23,上櫃,紡織纖維
8190,4406,新昕纖,1999-01-14,上櫃,紡織纖維
8191,4413,飛寶企業,1999-07-29,上櫃,紡織纖維
8192,4416,三圓,2000-05-06,上櫃,建材營造業
8193,4417,金洲,2000-11-07,上櫃,紡織纖維
8194,4419,元勝,2001-06-26,上櫃,紡織纖維
8195,4420,光明,2002-04-18,上櫃,紡織纖維
8196,4429,聚紡,2010-09-15,上櫃,紡織纖維
8197,4430,耀億,2011-06-09,上櫃,其他業
8198,4432,銘旺實,2012-11-26,上櫃,紡織纖維
8199,4433,興采,2014-11-03,上櫃,紡織纖維
8200,4502,健信,1995-12-12,上櫃,電機機械
8201,4503,金雨,1996-12-19,上櫃,電機機械
8202,4506,崇友,1997-12-06,上櫃,電機機械
8203,4510,高鋒,1998-02-24,上櫃,電機機械
8204,4513,福裕,1998-03-25,上櫃,電機機械
8205,4523,永彰,1999-11-22,上櫃,電機機械
8206,4527,方土霖,2000-09-28,上櫃,電機機械
8207,4528,江興鍛,2001-02-12,上櫃,電機機械
8208,4529,淳紳,2001-05-04,上櫃,其他業
8209,4530,宏易,2001-04-30,上櫃,電機機械
8210,4533,協易機,2002-04-26,上櫃,電機機械
8211,4534,慶騰,2003-03-31,上櫃,電機機械
8212,4535,至興,2003-04-16,上櫃,電機機械
8213,4538,大詠城,2019-01-15,上櫃,電機機械
8214,4541,晟田,2014-07-22,上櫃,其他業
8215,4542,科嶠,2014-08-25,上櫃,電子零組件業
8216,4543,萬在,2016-03-15,上櫃,電機機械
8217,4549,桓達,2014-11-27,上櫃,電機機械
8218,4550,長佳,2015-03-18,上櫃,電機機械
8219,4554,橙的,2016-08-05,上櫃,其他電子業
8220,4556,旭然,2015-12-22,上櫃,其他業
8221,4561,健椿,2018-06-11,上櫃,電機機械
8222,4563,百德,2018-07-12,上櫃,電機機械
8223,4568,科際精密,2018-10-03,上櫃,電機機械
8224,4580,捷流閥業,2020-01-06,上櫃,電機機械
8225,4609,唐鋒,2000-05-19,上櫃,電器電纜
8226,4702,中美實,1995-04-21,上櫃,化學工業
8227,4706,大恭,1998-04-17,上櫃,化學工業
8228,4707,磐亞,1998-05-20,上櫃,化學工業
8229,4711,永純,1999-02-24,上櫃,化學工業
8230,4712,南璋,1999-04-03,上櫃,食品工業
8231,4714,永捷,2000-03-27,上櫃,化學工業
8232,4716,大立,2000-03-27,上櫃,化學工業
8233,4721,美琪瑪,2001-03-09,上櫃,化學工業
8234,4726,永昕,2013-12-25,上櫃,生技醫療業
8235,4728,雙美,2012-01-10,上櫃,生技醫療業
8236,4729,熒茂,2009-02-24,上櫃,光電業
8237,4735,豪展,2011-08-16,上櫃,生技醫療業
